Stop_Order,City,State,Item
1,Mumbai Dock,Maharashtra,Central warehouse and dispatch hub
2,Gandhinagar,Gujarat,Vibrant festive wear
3,Daman,Dadra and Nagar Haveli and Daman and Diu,Summer-friendly outfits
4,Panaji,Goa,Summer and beachwear
5,Kavaratti,Lakshadweep,Light cotton wear
6,Thiruvananthapuram,Kerala,Cotton and linen wear
7,Puducherry,Puducherry,Relaxed summer clothing
8,Chennai,Tamil Nadu,Light cotton wear
9,Bengaluru,Karnataka,Trendy and modern urban fashion
10,Hyderabad,Telangana,Modern fashion
11,Bhopal,Madhya Pradesh,Multi-purpose clothing
12,Raipur,Chhattisgarh,Comfortable and casual clothing
13,Patna,Bihar,Formal office wear
14,Gangtok,Sikkim,Hiking and trekking gear
15,Dispur,Assam,Lightweight cotton clothing
16,Shillong,Meghalaya,Rain-resistant apparel
17,Itanagar,Arunachal Pradesh,Winter essentials
18,Kohima,Nagaland,Accessories
19,Imphal,Manipur,Traditional handwoven garments
20,Aizawl,Mizoram,Ceremonial and cultural attire
21,Agartala,Tripura,Handloom sarees
22,Kolkata,West Bengal,Festive sarees
23,Bhubaneswar,Odisha,Ethnic and casual wear
24,Ranchi,Jharkhand,Everyday casual clothing
25,Lucknow,Uttar Pradesh,Chikankari embroidery wear
26,New Delhi,Delhi,Modern and chic urban fashion
27,Dehradun,Uttarakhand,Outdoor and trekking apparel
28,Chandigarh,Haryana,Activewear
28,Chandigarh,Punjab,Thermal wear
28,Chandigarh,Chandigarh,Versatile casual clothing
29,Shimla,Himachal Pradesh,Heavy-duty winter gear
30,Leh,Ladakh,Adventure gear
33,Jaipur,Rajasthan,Designer lehengas and sarees
34,Mumbai Dock,Maharashtra,Central warehouse and dispatch hub
